"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_BMI_30A","PUBLISHED","2010","SEAR","","YEARS18-PLUS","MLE","2.2 [1.7-2.7]","2.20000","1.70000","2.70000",""
"NCD_BMI_30A","PUBLISHED","1982","WPR","","YEARS18-PLUS","MLE","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"NCD_BMI_30A","PUBLISHED","1991","EMR","","YEARS18-PLUS","MLE","6.0 [4.8-7.4]","6.00000","4.80000","7.40000",""
"NCD_BMI_30A","PUBLISHED","1995","WPR","","YEARS18-PLUS","FMLE","2.6 [2.2-3.1]","2.60000","2.20000","3.10000",""
"NCD_BMI_30A","PUBLISHED","1980","AFR","","YEARS18-PLUS","BTSX","2.5 [1.8-3.2]","2.50000","1.80000","3.20000",""
"NCD_BMI_30A","PUBLISHED","1994","AMR","","YEARS18-PLUS","FMLE","19.6 [17.8-21.4]","19.60000","17.80000","21.40000",""
"NCD_BMI_30A","PUBLISHED","2008","EMR","","YEARS18-PLUS","MLE","11.8 [10.5-13.2]","11.80000","10.50000","13.20000",""
"NCD_BMI_30A","PUBLISHED","2010","EUR","","YEARS18-PLUS","FMLE","22.5 [20.9-24.1]","22.50000","20.90000","24.10000",""
"NCD_BMI_30A","PUBLISHED","1993","SEAR","","YEARS18-PLUS","MLE","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"NCD_BMI_30A","PUBLISHED","1981","SEAR","","YEARS18-PLUS","BTSX","0.6 [0.4-0.8]","0.60000","0.40000","0.80000",""
"NCD_BMI_30A","PUBLISHED","1977","AMR","","YEARS18-PLUS","FMLE","12.2 [9.7-15.0]","12.20000","9.70000","15.00000",""
"NCD_BMI_30A","PUBLISHED","2001","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","FMLE","10.8 [10.3-11.3]","10.80000","10.30000","11.30000",""
"NCD_BMI_30A","PUBLISHED","1996","EUR","","YEARS18-PLUS","FMLE","18.5 [17.2-19.8]","18.50000","17.20000","19.80000",""
"NCD_BMI_30A","PUBLISHED","2012","WPR","","YEARS18-PLUS","FMLE","5.7 [4.6-7.0]","5.70000","4.60000","7.00000",""
"NCD_BMI_30A","PUBLISHED","1996","EMR","","YEARS18-PLUS","BTSX","11.8 [10.7-12.9]","11.80000","10.70000","12.90000",""
"NCD_BMI_30A","PUBLISHED","2012","SEAR","","YEARS18-PLUS","BTSX","3.8 [3.2-4.4]","3.80000","3.20000","4.40000",""
"NCD_BMI_30A","PUBLISHED","1989","AMR","","YEARS18-PLUS","BTSX","14.7 [13.4-16.1]","14.70000","13.40000","16.10000",""
"NCD_BMI_30A","PUBLISHED","1982","EMR","","YEARS18-PLUS","BTSX","7.5 [6.0-9.1]","7.50000","6.00000","9.10000",""
"NCD_BMI_30A","PUBLISHED","1981","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","FMLE","7.1 [6.2-8.1]","7.10000","6.20000","8.10000",""
"NCD_BMI_30A","PUBLISHED","2007","SEAR","","YEARS18-PLUS","MLE","1.8 [1.4-2.2]","1.80000","1.40000","2.20000",""
"NCD_BMI_30A","PUBLISHED","1975","AFR","","YEARS18-PLUS","MLE","0.6 [0.3-1.1]","0.60000","0.30000","1.10000",""
"NCD_BMI_30A","PUBLISHED","1998","SEAR","","YEARS18-PLUS","BTSX","1.7 [1.4-2.0]","1.70000","1.40000","2.00000",""
"NCD_BMI_30A","PUBLISHED","1978","AFR","","YEARS18-PLUS","MLE","0.7 [0.4-1.2]","0.70000","0.40000","1.20000",""
"NCD_BMI_30A","PUBLISHED","1983","WPR","","YEARS18-PLUS","MLE","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"NCD_BMI_30A","PUBLISHED","2014","EMR","","YEARS18-PLUS","BTSX","19.6 [18.1-21.2]","19.60000","18.10000","21.20000",""
"NCD_BMI_30A","PUBLISHED","1986","SEAR","","YEARS18-PLUS","FMLE","1.2 [0.9-1.7]","1.20000","0.90000","1.70000",""
"NCD_BMI_30A","PUBLISHED","2009","EMR","","YEARS18-PLUS","MLE","12.3 [10.9-13.7]","12.30000","10.90000","13.70000",""
"NCD_BMI_30A","PUBLISHED","2011","EUR","","YEARS18-PLUS","FMLE","22.8 [21.1-24.5]","22.80000","21.10000","24.50000",""
"NCD_BMI_30A","PUBLISHED","2000","WPR","","YEARS18-PLUS","MLE","2.1 [1.7-2.5]","2.10000","1.70000","2.50000",""
"NCD_BMI_30A","PUBLISHED","1988","WPR","","YEARS18-PLUS","BTSX","1.4 [1.2-1.7]","1.40000","1.20000","1.70000",""
"NCD_BMI_30A","PUBLISHED","1998","AFR","","YEARS18-PLUS","BTSX","5.5 [5.0-6.1]","5.50000","5.00000","6.10000",""
"NCD_BMI_30A","PUBLISHED","1980","AMR","","YEARS18-PLUS","FMLE","13.3 [11.0-15.8]","13.30000","11.00000","15.80000",""
"NCD_BMI_30A","PUBLISHED","2010","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","BTSX","11.2 [10.8-11.7]","11.20000","10.80000","11.70000",""
"NCD_BMI_30A","PUBLISHED","1997","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","BTSX","8.1 [7.7-8.4]","8.10000","7.70000","8.40000",""
"NCD_BMI_30A","PUBLISHED","2013","SEAR","","YEARS18-PLUS","BTSX","4.0 [3.4-4.6]","4.00000","3.40000","4.60000",""
"NCD_BMI_30A","PUBLISHED","1997","EMR","","YEARS18-PLUS","BTSX","12.1 [11.0-13.2]","12.10000","11.00000","13.20000",""
"NCD_BMI_30A","PUBLISHED","2012","AMR","","YEARS18-PLUS","FMLE","28.9 [26.8-31.0]","28.90000","26.80000","31.00000",""
"NCD_BMI_30A","PUBLISHED","1979","EUR","","YEARS18-PLUS","FMLE","13.9 [11.4-16.6]","13.90000","11.40000","16.60000",""
"NCD_BMI_30A","PUBLISHED","2005","AFR","","YEARS18-PLUS","FMLE","11.0 [10.0-12.0]","11.00000","10.00000","12.00000",""
"NCD_BMI_30A","PUBLISHED","2007","AMR","","YEARS18-PLUS","BTSX","23.9 [22.7-25.1]","23.90000","22.70000","25.10000",""
"NCD_BMI_30A","PUBLISHED","1976","GLOBAL","","YEARS18-PLUS","FMLE","6.5 [5.3-7.9]","6.50000","5.30000","7.90000",""
"NCD_BMI_30A","PUBLISHED","1999","GLOBAL","","YEARS18-PLUS","MLE","6.4 [6.0-6.9]","6.40000","6.00000","6.90000",""
"NCD_BMI_30A","PUBLISHED","2010","AFR","","YEARS18-PLUS","MLE","4.2 [3.6-5.0]","4.20000","3.60000","5.00000",""
"NCD_BMI_30A","PUBLISHED","1977","EMR","","YEARS18-PLUS","MLE","2.9 [1.8-4.6]","2.90000","1.80000","4.60000",""
"NCD_BMI_30A","PUBLISHED","1984","EUR","","YEARS18-PLUS","MLE","8.8 [7.4-10.4]","8.80000","7.40000","10.40000",""
"NCD_BMI_30A","PUBLISHED","1988","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","BTSX","6.5 [6.0-6.9]","6.50000","6.00000","6.90000",""
"NCD_BMI_30A","PUBLISHED","1981","AFR","","YEARS18-PLUS","BTSX","2.6 [2.0-3.3]","2.60000","2.00000","3.30000",""
"NCD_BMI_30A","PUBLISHED","1995","AMR","","YEARS18-PLUS","FMLE","20.1 [18.3-21.9]","20.10000","18.30000","21.90000",""
"NCD_BMI_30A","PUBLISHED","2008","GLOBAL","","YEARS18-PLUS","MLE","8.8 [8.1-9.4]","8.80000","8.10000","9.40000",""
"NCD_BMI_30A","PUBLISHED","1996","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","5.9 [5.4-6.4]","5.90000","5.40000","6.40000",""
"NCD_BMI_30A","PUBLISHED","1988","EMR","","YEARS18-PLUS","FMLE","13.5 [11.2-16.0]","13.50000","11.20000","16.00000",""
"NCD_BMI_30A","PUBLISHED","2008","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","BTSX","10.7 [10.3-11.1]","10.70000","10.30000","11.10000",""
"NCD_BMI_30A","PUBLISHED","2004","EUR","","YEARS18-PLUS","BTSX","18.6 [17.7-19.4]","18.60000","17.70000","19.40000",""
"NCD_BMI_30A","PUBLISHED","1983","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","FMLE","7.4 [6.6-8.4]","7.40000","6.60000","8.40000",""
"NCD_BMI_30A","PUBLISHED","2015","WPR","","YEARS18-PLUS","MLE","5.7 [4.2-7.4]","5.70000","4.20000","7.40000",""
"NCD_BMI_30A","PUBLISHED","1999","EUR","","YEARS18-PLUS","MLE","14.1 [13.0-15.3]","14.10000","13.00000","15.30000",""
"NCD_BMI_30A","PUBLISHED","1990","EUR","","YEARS18-PLUS","BTSX","14.1 [13.0-15.2]","14.10000","13.00000","15.20000",""
"NCD_BMI_30A","PUBLISHED","2006","WPR","","YEARS18-PLUS","BTSX","3.7 [3.3-4.2]","3.70000","3.30000","4.20000",""
"NCD_BMI_30A","PUBLISHED","1983","AMR","","YEARS18-PLUS","MLE","9.7 [7.9-11.8]","9.70000","7.90000","11.80000",""
"NCD_BMI_30A","PUBLISHED","1987","SEAR","","YEARS18-PLUS","FMLE","1.3 [0.9-1.8]","1.30000","0.90000","1.80000",""
"NCD_BMI_30A","PUBLISHED","2016","EUR","","YEARS18-PLUS","MLE","21.9 [19.8-24.1]","21.90000","19.80000","24.10000",""
"NCD_BMI_30A","PUBLISHED","1988","AMR","","YEARS18-PLUS","BTSX","14.3 [12.9-15.7]","14.30000","12.90000","15.70000",""
"NCD_BMI_30A","PUBLISHED","1986","AFR","","YEARS18-PLUS","FMLE","5.2 [4.1-6.4]","5.20000","4.10000","6.40000",""
"NCD_BMI_30A","PUBLISHED","2002","EMR","","YEARS18-PLUS","FMLE","19.0 [17.4-20.6]","19.00000","17.40000","20.60000",""
"NCD_BMI_30A","PUBLISHED","2001","WPR","","YEARS18-PLUS","MLE","2.2 [1.9-2.7]","2.20000","1.90000","2.70000",""
"NCD_BMI_30A","PUBLISHED","2003","GLOBAL","","YEARS18-PLUS","FMLE","11.3 [10.7-11.9]","11.30000","10.70000","11.90000",""
"NCD_BMI_30A","PUBLISHED","1989","WPR","","YEARS18-PLUS","BTSX","1.5 [1.3-1.7]","1.50000","1.30000","1.70000",""
"NCD_BMI_30A","PUBLISHED","1985","EMR","","YEARS18-PLUS","FMLE","12.4 [9.9-15.1]","12.40000","9.90000","15.10000",""
"NCD_BMI_30A","PUBLISHED","2004","SEAR","","YEARS18-PLUS","FMLE","3.4 [2.9-4.0]","3.40000","2.90000","4.00000",""
"NCD_BMI_30A","PUBLISHED","2001","SEAR","","YEARS18-PLUS","FMLE","2.9 [2.4-3.5]","2.90000","2.40000","3.50000",""
"NCD_BMI_30A","PUBLISHED","2013","AFR","","YEARS18-PLUS","BTSX","9.6 [8.8-10.5]","9.60000","8.80000","10.50000",""
"NCD_BMI_30A","PUBLISHED","1984","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","FMLE","7.6 [6.8-8.5]","7.60000","6.80000","8.50000",""
"NCD_BMI_30A","PUBLISHED","1993","AFR","","YEARS18-PLUS","MLE","1.7 [1.3-2.2]","1.70000","1.30000","2.20000",""
"NCD_BMI_30A","PUBLISHED","2000","AMR","","YEARS18-PLUS","MLE","17.5 [15.7-19.3]","17.50000","15.70000","19.30000",""
"NCD_BMI_30A","PUBLISHED","1976","WPR","","YEARS18-PLUS","FMLE","1.1 [0.7-1.7]","1.10000","0.70000","1.70000",""
"NCD_BMI_30A","PUBLISHED","1988","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","4.5 [4.0-5.1]","4.50000","4.00000","5.10000",""
"NCD_BMI_30A","PUBLISHED","1987","EUR","","YEARS18-PLUS","BTSX","13.2 [12.0-14.4]","13.20000","12.00000","14.40000",""
"NCD_BMI_30A","PUBLISHED","2003","WPR","","YEARS18-PLUS","BTSX","3.2 [2.8-3.6]","3.20000","2.80000","3.60000",""
"NCD_BMI_30A","PUBLISHED","2002","EUR","","YEARS18-PLUS","MLE","15.3 [14.2-16.5]","15.30000","14.20000","16.50000",""
"NCD_BMI_30A","PUBLISHED","1994","WPR","","YEARS18-PLUS","FMLE","2.5 [2.1-3.0]","2.50000","2.10000","3.00000",""
"NCD_BMI_30A","PUBLISHED","2006","AMR","","YEARS18-PLUS","BTSX","23.4 [22.2-24.6]","23.40000","22.20000","24.60000",""
"NCD_BMI_30A","PUBLISHED","1975","SEAR","","YEARS18-PLUS","MLE","0.2 [0.1-0.4]","0.20000","0.10000","0.40000",""
"NCD_BMI_30A","PUBLISHED","2003","EMR","","YEARS18-PLUS","FMLE","19.4 [17.9-21.1]","19.40000","17.90000","21.10000",""
"NCD_BMI_30A","PUBLISHED","1980","SEAR","","YEARS18-PLUS","BTSX","0.6 [0.4-0.8]","0.60000","0.40000","0.80000",""
"NCD_BMI_30A","PUBLISHED","2011","AFR","","YEARS18-PLUS","MLE","4.4 [3.7-5.2]","4.40000","3.70000","5.20000",""
"NCD_BMI_30A","PUBLISHED","1985","EUR","","YEARS18-PLUS","MLE","9.1 [7.7-10.6]","9.10000","7.70000","10.60000",""
"NCD_BMI_30A","PUBLISHED","1976","EMR","","YEARS18-PLUS","MLE","2.8 [1.6-4.5]","2.80000","1.60000","4.50000",""
"NCD_BMI_30A","PUBLISHED","1997","GLOBAL","","YEARS18-PLUS","FMLE","9.8 [9.3-10.4]","9.80000","9.30000","10.40000",""
"NCD_BMI_30A","PUBLISHED","1992","SEAR","","YEARS18-PLUS","MLE","0.6 [0.4-0.8]","0.60000","0.40000","0.80000",""
"NCD_BMI_30A","PUBLISHED","1977","WPR","","YEARS18-PLUS","FMLE","1.2 [0.8-1.7]","1.20000","0.80000","1.70000",""
"NCD_BMI_30A","PUBLISHED","2016","AFR","","YEARS18-PLUS","BTSX","10.6 [9.6-11.7]","10.60000","9.60000","11.70000",""
"NCD_BMI_30A","PUBLISHED","2015","EMR","","YEARS18-PLUS","BTSX","20.3 [18.7-22.0]","20.30000","18.70000","22.00000",""
"NCD_BMI_30A","PUBLISHED","2013","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","10.1 [9.4-10.9]","10.10000","9.40000","10.90000",""
"NCD_BMI_30A","PUBLISHED","1980","GLOBAL","","YEARS18-PLUS","FMLE","7.1 [6.0-8.2]","7.10000","6.00000","8.20000",""
"NCD_BMI_30A","PUBLISHED","1999","AFR","","YEARS18-PLUS","BTSX","5.8 [5.2-6.3]","5.80000","5.20000","6.30000",""
"NCD_BMI_30A","PUBLISHED","1978","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","FMLE","6.7 [5.7-7.8]","6.70000","5.70000","7.80000",""
"NCD_BMI_30A","PUBLISHED","2004","AFR","","YEARS18-PLUS","FMLE","10.6 [9.7-11.6]","10.60000","9.70000","11.60000",""
"NCD_BMI_30A","PUBLISHED","1999","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","BTSX","8.5 [8.1-8.8]","8.50000","8.10000","8.80000",""
"NCD_BMI_30A","PUBLISHED","2005","EUR","","YEARS18-PLUS","BTSX","18.9 [18.1-19.8]","18.90000","18.10000","19.80000",""
"NCD_BMI_30A","PUBLISHED","2013","AMR","","YEARS18-PLUS","FMLE","29.4 [27.2-31.7]","29.40000","27.20000","31.70000",""
"NCD_BMI_30A","PUBLISHED","1978","EUR","","YEARS18-PLUS","FMLE","13.6 [11.0-16.5]","13.60000","11.00000","16.50000",""
"NCD_BMI_30A","PUBLISHED","2007","WPR","","YEARS18-PLUS","BTSX","4.0 [3.5-4.5]","4.00000","3.50000","4.50000",""
"NCD_BMI_30A","PUBLISHED","1986","AMR","","YEARS18-PLUS","MLE","10.8 [9.0-12.8]","10.80000","9.00000","12.80000",""
"NCD_BMI_30A","PUBLISHED","1993","AFR","","YEARS18-PLUS","FMLE","7.0 [6.0-8.0]","7.00000","6.00000","8.00000",""
"NCD_BMI_30A","PUBLISHED","2016","AFR","","YEARS18-PLUS","FMLE","15.3 [13.6-17.1]","15.30000","13.60000","17.10000",""
"NCD_BMI_30A","PUBLISHED","1990","EUR","","YEARS18-PLUS","FMLE","16.9 [15.3-18.6]","16.90000","15.30000","18.60000",""
"NCD_BMI_30A","PUBLISHED","1978","SEAR","","YEARS18-PLUS","BTSX","0.5 [0.3-0.7]","0.50000","0.30000","0.70000",""
"NCD_BMI_30A","PUBLISHED","2015","WPR","","YEARS18-PLUS","FMLE","6.4 [5.0-8.2]","6.40000","5.00000","8.20000",""
"NCD_BMI_30A","PUBLISHED","1983","WPR","","YEARS18-PLUS","FMLE","1.5 [1.1-2.0]","1.50000","1.10000","2.00000",""
"NCD_BMI_30A","PUBLISHED","2009","EMR","","YEARS18-PLUS","FMLE","22.3 [20.7-24.2]","22.30000","20.70000","24.20000",""
"NCD_BMI_30A","PUBLISHED","2002","WPR","","YEARS18-PLUS","BTSX","3.0 [2.7-3.4]","3.00000","2.70000","3.40000",""
"NCD_BMI_30A","PUBLISHED","1987","AMR","","YEARS18-PLUS","MLE","11.2 [9.4-13.2]","11.20000","9.40000","13.20000",""
"NCD_BMI_30A","PUBLISHED","2003","EUR","","YEARS18-PLUS","MLE","15.7 [14.6-16.9]","15.70000","14.60000","16.90000",""
"NCD_BMI_30A","PUBLISHED","2008","AMR","","YEARS18-PLUS","FMLE","26.9 [25.2-28.7]","26.90000","25.20000","28.70000",""
"NCD_BMI_30A","PUBLISHED","1998","EMR","","YEARS18-PLUS","FMLE","17.2 [15.6-19.0]","17.20000","15.60000","19.00000",""
"NCD_BMI_30A","PUBLISHED","1991","SEAR","","YEARS18-PLUS","FMLE","1.7 [1.3-2.1]","1.70000","1.30000","2.10000",""
"NCD_BMI_30A","PUBLISHED","1975","EMR","","YEARS18-PLUS","FMLE","9.0 [5.8-12.8]","9.00000","5.80000","12.80000",""
"NCD_BMI_30A","PUBLISHED","2014","SEAR","","YEARS18-PLUS","FMLE","5.6 [4.5-6.8]","5.60000","4.50000","6.80000",""
"NCD_BMI_30A","PUBLISHED","2001","GLOBAL","","YEARS18-PLUS","FMLE","10.8 [10.2-11.4]","10.80000","10.20000","11.40000",""
"NCD_BMI_30A","PUBLISHED","2009","GLOBAL","","YEARS18-PLUS","MLE","9.1 [8.4-9.8]","9.10000","8.40000","9.80000",""
"NCD_BMI_30A","PUBLISHED","2006","WPR","","YEARS18-PLUS","FMLE","4.3 [3.7-5.1]","4.30000","3.70000","5.10000",""
"NCD_BMI_30A","PUBLISHED","1995","AFR","","YEARS18-PLUS","MLE","1.9 [1.5-2.5]","1.90000","1.50000","2.50000",""
"NCD_BMI_30A","PUBLISHED","1991","EUR","","YEARS18-PLUS","BTSX","14.4 [13.4-15.4]","14.40000","13.40000","15.40000",""
"NCD_BMI_30A","PUBLISHED","1975","AMR","","YEARS18-PLUS","BTSX","9.5 [7.8-11.4]","9.50000","7.80000","11.40000",""
"NCD_BMI_30A","PUBLISHED","2014","WPR","","YEARS18-PLUS","MLE","5.3 [4.0-6.9]","5.30000","4.00000","6.90000",""
"NCD_BMI_30A","PUBLISHED","1976","SEAR","","YEARS18-PLUS","BTSX","0.4 [0.3-0.7]","0.40000","0.30000","0.70000",""
"NCD_BMI_30A","PUBLISHED","1991","AFR","","YEARS18-PLUS","FMLE","6.4 [5.4-7.5]","6.40000","5.40000","7.50000",""
"NCD_BMI_30A","PUBLISHED","1982","AMR","","YEARS18-PLUS","MLE","9.4 [7.5-11.5]","9.40000","7.50000","11.50000",""
"NCD_BMI_30A","PUBLISHED","2008","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","8.6 [8.1-9.2]","8.60000","8.10000","9.20000",""
"NCD_BMI_30A","PUBLISHED","2008","GLOBAL","","YEARS18-PLUS","FMLE","12.9 [12.1-13.6]","12.90000","12.10000","13.60000",""
"NCD_BMI_30A","PUBLISHED","2012","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","9.8 [9.1-10.5]","9.80000","9.10000","10.50000",""
"NCD_BMI_30A","PUBLISHED","1999","EUR","","YEARS18-PLUS","FMLE","19.3 [18.0-20.5]","19.30000","18.00000","20.50000",""
"NCD_BMI_30A","PUBLISHED","2013","WPR","","YEARS18-PLUS","FMLE","5.9 [4.7-7.4]","5.90000","4.70000","7.40000",""
"NCD_BMI_30A","PUBLISHED","1990","AFR","","YEARS18-PLUS","MLE","1.4 [1.0-2.0]","1.40000","1.00000","2.00000",""
"NCD_BMI_30A","PUBLISHED","1988","SEAR","","YEARS18-PLUS","MLE","0.5 [0.3-0.7]","0.50000","0.30000","0.70000",""
"NCD_BMI_30A","PUBLISHED","2012","AFR","","YEARS18-PLUS","BTSX","9.3 [8.6-10.1]","9.30000","8.60000","10.10000",""
"NCD_BMI_30A","PUBLISHED","1981","WPR","","YEARS18-PLUS","FMLE","1.4 [1.0-1.9]","1.40000","1.00000","1.90000",""
"NCD_BMI_30A","PUBLISHED","2006","EMR","","YEARS18-PLUS","MLE","10.9 [9.7-12.2]","10.90000","9.70000","12.20000",""
"NCD_BMI_30A","PUBLISHED","2007","EMR","","YEARS18-PLUS","FMLE","21.3 [19.7-23.0]","21.30000","19.70000","23.00000",""
"NCD_BMI_30A","PUBLISHED","1981","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","3.6 [3.0-4.2]","3.60000","3.00000","4.20000",""
"NCD_BMI_30A","PUBLISHED","1986","EUR","","YEARS18-PLUS","BTSX","12.9 [11.7-14.2]","12.90000","11.70000","14.20000",""
"NCD_BMI_30A","PUBLISHED","2006","AMR","","YEARS18-PLUS","FMLE","25.9 [24.2-27.6]","25.90000","24.20000","27.60000",""
"NCD_BMI_30A","PUBLISHED","1980","SEAR","","YEARS18-PLUS","FMLE","0.9 [0.5-1.3]","0.90000","0.50000","1.30000",""
"NCD_BMI_30A","PUBLISHED","1978","AFR","","YEARS18-PLUS","BTSX","2.3 [1.6-3.0]","2.30000","1.60000","3.00000",""
"NCD_BMI_30A","PUBLISHED","1989","SEAR","","YEARS18-PLUS","FMLE","1.5 [1.1-2.0]","1.50000","1.10000","2.00000",""
"NCD_BMI_30A","PUBLISHED","2010","GLOBAL","","YEARS18-PLUS","MLE","9.4 [8.7-10.2]","9.40000","8.70000","10.20000",""
"NCD_BMI_30A","PUBLISHED","1984","GLOBAL","","YEARS18-PLUS","FMLE","7.6 [6.7-8.6]","7.60000","6.70000","8.60000",""
"NCD_BMI_30A","PUBLISHED","1980","WPR","","YEARS18-PLUS","MLE","0.6 [0.4-0.8]","0.60000","0.40000","0.80000",""
"NCD_BMI_30A","PUBLISHED","1982","AFR","","YEARS18-PLUS","FMLE","4.4 [3.3-5.7]","4.40000","3.30000","5.70000",""
"NCD_BMI_30A","PUBLISHED","1983","AMR","","YEARS18-PLUS","FMLE","14.5 [12.3-16.8]","14.50000","12.30000","16.80000",""
"NCD_BMI_30A","PUBLISHED","1986","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","4.2 [3.7-4.8]","4.20000","3.70000","4.80000",""
"NCD_BMI_30A","PUBLISHED","2010","SEAR","","YEARS18-PLUS","BTSX","3.4 [2.9-3.9]","3.40000","2.90000","3.90000",""
"NCD_BMI_30A","PUBLISHED","2011","WPR","","YEARS18-PLUS","BTSX","4.9 [4.2-5.7]","4.90000","4.20000","5.70000",""
"NCD_BMI_30A","PUBLISHED","1994","EMR","","YEARS18-PLUS","BTSX","11.1 [10.0-12.3]","11.10000","10.00000","12.30000",""
"NCD_BMI_30A","PUBLISHED","2015","AMR","","YEARS18-PLUS","FMLE","30.5 [27.9-33.1]","30.50000","27.90000","33.10000",""
"NCD_BMI_30A","PUBLISHED","1998","EUR","","YEARS18-PLUS","MLE","13.7 [12.6-14.9]","13.70000","12.60000","14.90000",""
"NCD_BMI_30A","PUBLISHED","2015","EMR","","YEARS18-PLUS","MLE","15.2 [13.1-17.4]","15.20000","13.10000","17.40000",""
"NCD_BMI_30A","PUBLISHED","1996","EUR","","YEARS18-PLUS","MLE","13.0 [11.8-14.2]","13.00000","11.80000","14.20000",""
"NCD_BMI_30A","PUBLISHED","1993","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","5.3 [4.8-5.8]","5.30000","4.80000","5.80000",""
"NCD_BMI_30A","PUBLISHED","1989","WPR","","YEARS18-PLUS","MLE","1.0 [0.8-1.3]","1.00000","0.80000","1.30000",""
"NCD_BMI_30A","PUBLISHED","1999","AFR","","YEARS18-PLUS","MLE","2.4 [2.0-3.0]","2.40000","2.00000","3.00000",""
"NCD_BMI_30A","PUBLISHED","1989","GLOBAL","WB_WORLD_INCOME","YEARS18-PLUS","MLE","4.7 [4.1-5.2]","4.70000","4.10000","5.20000",""
"NCD_BMI_30A","PUBLISHED","2004","GLOBAL","","YEARS18-PLUS","MLE","7.6 [7.1-8.1]","7.60000","7.10000","8.10000",""
"NCD_BMI_30A","PUBLISHED","2002","AMR","","YEARS18-PLUS","BTSX","21.3 [20.1-22.5]","21.30000","20.10000","22.50000",""
"NCD_BMI_30A","PUBLISHED","1997","EUR","","YEARS18-PLUS","FMLE","18.7 [17.5-20.0]","18.70000","17.50000","20.00000",""
"NCD_BMI_30A","PUBLISHED","1984","EUR","","YEARS18-PLUS","BTSX","12.3 [11.1-13.8]","12.30000","11.10000","13.80000",""
"NCD_BMI_30A","PUBLISHED","2003","EMR","","YEARS18-PLUS","BTSX","14.4 [13.4-15.4]","14.40000","13.40000","15.40000",""
"NCD_BMI_30A","PUBLISHED","1987","AFR","","YEARS18-PLUS","BTSX","3.4 [2.8-4.0]","3.40000","2.80000","4.00000",""
